LAST SEEN   TYPE      REASON                        OBJECT                                                                      MESSAGE
<unknown>   Warning   PipelineRunValidationErrors   repository/ks-v418-cnv-fbc-fragment                                         cannot read the PipelineRun: cnv-mirrorset, error: no kind "ImageDigestMirrorSet" is registered for version "operator.openshift.io/v1alpha1" in scheme "k8s.io/client-go/kubernetes/scheme/register.go:83"
<unknown>   Warning   PipelineRunValidationErrors   repository/ks-v418-cnv-fbc-fragment                                         cannot read the PipelineRun: cnv-mirrorset, error: no kind "ImageDigestMirrorSet" is registered for version "operator.openshift.io/v1alpha1" in scheme "k8s.io/client-go/kubernetes/scheme/register.go:83"
128m        Normal    Started                       pipelinerun/ks-v418-cnv-fbc-fragment-on-pull-request-wd728                  
128m        Normal    CreatedWorkload               pipelinerun/ks-v418-cnv-fbc-fragment-on-pull-request-wd728                  Created Workload: nmarsell-tenant/pipelinerun-ks-v418-cnv-fbc-fragment-on-pull-request-wd728-14eb1
128m        Warning   FinalizerUpdateFailed         pipelinerun/ks-v418-cnv-fbc-fragment-on-pull-request-wd728                  Failed to update finalizers for "ks-v418-cnv-fbc-fragment-on-pull-request-wd728": Operation cannot be fulfilled on pipelineruns.tekton.dev "ks-v418-cnv-fbc-fragment-on-pull-request-wd728": the object has been modified; please apply your changes to the latest version and try again
128m        Warning   FinalizerUpdateFailed         pipelinerun/ks-v418-cnv-fbc-fragment-on-pull-request-wd728                  Failed to update finalizers for "ks-v418-cnv-fbc-fragment-on-pull-request-wd728": Operation cannot be fulfilled on pipelineruns.tekton.dev "ks-v418-cnv-fbc-fragment-on-pull-request-wd728": the object has been modified; please apply your changes to the latest version and try again
128m        Warning   FinalizerUpdateFailed         pipelinerun/ks-v418-cnv-fbc-fragment-on-pull-request-wd728                  Failed to update finalizers for "ks-v418-cnv-fbc-fragment-on-pull-request-wd728": Operation cannot be fulfilled on pipelineruns.tekton.dev "ks-v418-cnv-fbc-fragment-on-pull-request-wd728": the object has been modified; please apply your changes to the latest version and try again
128m        Normal    FinalizerUpdate               pipelinerun/ks-v418-cnv-fbc-fragment-on-pull-request-wd728                  Updated "ks-v418-cnv-fbc-fragment-on-pull-request-wd728" finalizers
128m        Normal    FinalizerUpdate               pipelinerun/ks-v418-cnv-fbc-fragment-on-pull-request-wd728                  Updated "ks-v418-cnv-fbc-fragment-on-pull-request-wd728" finalizers
128m        Normal    FinalizerUpdate               pipelinerun/ks-v418-cnv-fbc-fragment-on-pull-request-wd728                  Updated "ks-v418-cnv-fbc-fragment-on-pull-request-wd728" finalizers
2m50s       Warning   Pending                       workload/pipelinerun-ks-v418-cnv-fbc-fragment-on-pull-request-wd728-14eb1   couldn't assign flavors to pod set pod-set-1: resource linux-x86_64 unavailable in ClusterQueue
